50 dặm	fifty-mile
cũng dẻo	also flexible
cung điện	palace
cứng đơ	stiff
cũng gọi là	also known as
cũng không	nor
cũng là	also is
cùng lứa	peer
cùng máu mủ 	the same blood
cứng ngắc	rigid
cùng nhau	together
cũng nhờ có 	also thanks to
cũng như vậy	likewise
cùng quy tụ	converge
cứng rắn	adamant, extremely firm
cùng tồn tại	coexist
cũng vậy	too, as well
cuốc	hoes
cuộc	(unique classifier), the (time related) session 
cuộc biểu tình	rally
cuộc chiến đấu	fight
cuộc đấu (kiếm, súng) tay đôi	duel
cuộc đối thoại	dialogue
cuộc đột kích	raid
cuộc đua	race, competition
cuộc đụng độ	clash
cuộc gọi	call
cuộc họp	meeting
cuộc khám nghiệm tử thi	autopsy
cuộc nối dậy	revolt
cuộc nối dậy/loạn	revolt
cuộc phiêu lưu	adventures
cuộc sống	life
cuộc sống riêng tư	private life
cuộc sống và cái chết	life-and-death
cuộc thi	contest
cuộc trò chuyện	conversation
cuối	end
cưới	wed
cười	laugh, chuckle
cưỡi	riding
cuối cùng	ultimately, in the end, finally
cười lộ răng	grin
cuối mùa hè	late summer
cười nhạo	deride
cuối tuần	weekend
cườm mắt	cataract
cuộn	coil, wrap, roll
cuồn cuộn	billow
cuốn họng	jugular
cuộn mình	cuddle
cuốn sách	book
cuống	stem
cưỡng	to force
cương 	firm up against
cường độ dòng điện	amperage
cưỡng lại	resist, resistible
cương quyết	determined, decisive
cướp	rob
cướp biển	pirate
cúp điện	blackout
cưu	to help; to aid
cứu	rescue
cừu	sheep
cữu	eternal
cửu	nine
cựu	former
cứu dân	save people
cứu hỏa	fire fighting
cưu mang	conceived and carry
cựu sinh viên	alumni
cứu trợ	relief
cựu, trước đây	former
da	leather, skin
dá	palanquin
dã	wild
dạ	stomach; reponse: "Yes ; please" to elder
đa	multiple
đá	to kick; stone, rock
đà	momentum
đã	did, already (past indicator)
đã ấm lên	warmed
đã ăn	ate
đã ẩn	hid
đã ăn cắp	stole
đã bắn	shot
đã bắn phá	bombarded
đã bão	stormed
đã bao bọc	enveloped
đã bảo đảm	secured
đã bao gồm	included
đã bao quanh	surrounded
đã báo tin	communicated
đã báo trước	heralded, informed ahead of time
đã bảo vệ	defended, guarded
đã bắt	caught
đã bắt buộc	compelled
đã bắt cóc	kidnapped
đã bắt đầu	started
đã bất ngờ	unexpected
đã bắt vít	bolted
đã bay	flew
đã bị nhiễm	contracted
đã bị thương	injured, wounded
đã biến mất	disappeared
đã biết	knew
đã bò	crawled
đã bò lê	crept
đã bỏ lỡ	missed
đã bỏ qua	ignored
đã bọc	wrapped
đã bối rối	puzzled
đã bọt khí	bubbled
đã bùng phát	boomed
đã buộc	forced
đã buộc dây 	leashed
đã ca ngợi	hailed, praised
đã cãi nhau	bickered, quarrelled
đã cai trị	ruled
đã cam đoan	reassured
đá cẩm thạch	marble
đã cảm thấy	felt
đã cắm trại	camped
đã cần	needed
đã cắn	nipped, bit (bite)
đã cân nặng	weighed
đã can thiệp	interfered
đã căng thẳng	strained
đã cắt giảm	slashed
đã cấu	scratched
đã cầu nguyện	prayed
đã càu nhàu	grumbled, grunted
đã cày	ploughed
đã chậm phát triển	retarded
đã chán	bored
đã chạy	ran
đã chạy đua	raced
đã cháy sém	fire-scorched
đã chạy trốn	fled
đã chế giễu	taunted
đã chết	died
đã chết đói	famished
đã chết đuối	drowned
đã chỉ	pointed
đã chỉ huy	commanded
đã chiếm	occupied
đã chiến đấu	fought
đã chiết xuất	extracted
đã chìm	sank
đã cho ăn	fed
đã chở bằng xe tải	trucked
đã chờ đợi	waited
đã cho phép	allowed
đã choáng váng	dazed
đã chọc	poked
đã chơi	played
đã chôn	buried
đã chọn	selected, picked
đã chưa xong	unfinished
đã chuẩn bị	prepared, braced
đã chứng minh	evidenced
đã chuyển	shifted
đã chuyên chở	freighted
đã chuyển dời	moved
đã chuyển đối	transformed, changed
đã có	had
đã cố định	fixated
đã cố gắng	attempted, tried
đã có giá trị trước đây	forevalued
đã có mục tiêu	purposed
đã có mùi thơm	scented
đã có nhiều cây cối	wooded
đã có thể	could
đã cọ xát	rubbed
đã cong	curved, bent
đã công bố	announced
đã công nhận	recognized
đã cư trú	resided
đã cúi, co mình	crouched
đã cung cấp chỗ ở	accommodated
đá cuội	boulder, pebble
đã cười	laughed
đã cưỡi	rode
đã cười toe toét	grinned
đã cuộn	rolled
đã cuốn lên	reeled, curled up
đã cứu	saved
đã đá ra	bucked
đã đặc trưng	characterized
đã dám	dared
đã đâm sầm	crashed
đã dẫn	led
đa dạng	diverse
đa dạng hóa	diversify
đã đánh	struck
đã đánh dấu	marked
đã đánh sáp	waxed
đã đánh thức	roused
đã đập	clubbed, pounded
đã đáp lại	countered
đã đập mạnh	throbbed
đã đập nát	smashed
đã đập, vỗ	flapped
đã đặt	placed, laid
đã đạt được	achieved, gained
da đầu	scalp
đã đau đớn	lacerated, was in pain
đã đấu tranh	struggled
đã đầu tư	invested
dạ dày	stomach
đã đẩy	propelled, pushed
đã đầy chiến sẹo	battle-scarred
đã đem	carried
đã đi	gone, went
đã di dời	displaced
đã đi du lịch	travelled
đã đi kèm	bundled, accompanied
đã đi khập khiễng	limped
đã đi lang thang	wandered
đã đi lon ton	trotted
đã đi men	skirted
đã đi nước kiệu	trotted
đã đi qua	passed
đã đi theo	followed
đã diễn hành	marched
đã diễn nhộn nhịp	animated
đã điên rồ	crazed
đà điểu	ostrich
đã điều khiển	driven
đã điều trị	treated
đã định	destined
đã định đường	routed
đã đố	shed, poured
đã đối mặt	faced
đã đối xử	treated
đã đóng	closed, shut
đã đóng dấu	stamped
đã đóng gói	packed
đã đông lạnh	frozen
đã đóng yên	harnessed
đã đớp	snapped
đã dự	attended
đã dự bị	reserved
đã dự kiến	expected
đã dự tính	projected, estimated
đã đưa ra	launched, proposed
đã đưa trước	advanced
đã đụng	crashed
đã đứng	stood
đã đứng đầu	topped
đã được	was able to be (verb); had received (verb)
đã dường như	seemed
đã ép	pressed
đã gầm gừ	growled, snarled
đã gầm lên	roared
đã gắn chặt	fastened
đã gặp	met
đã gặp phải	encountered
đã gấp rút	hurried
đã gật đầu	nodded
đã gáy	crowed
đã gây ra	caused
đã gãy răng rắc	snapped
đã ghét	hated
đã ghi điểm số	scored
đã giải quyết	resolved
đã giảm	dropped, reduced
đã giậm chân	stamped
đã giẫm xéo	trampled
đã giảm xuống	plunged
đã giảng dạy	taught
đã giật	jerked
đã giấu	hid
đã giấu giếm	smothered
đã giết	killed
đã giới hạn	confined
đã giữ	kept
đã giữ chắc	braced
đã giường	bed
đã gõ	knocked
đã gỡ lại	undid
đã gọi	called
đã góp ý	commented
đã gửi	sent
đã hạ	dropped, reduced
đã hạ cánh	landed
đã ham muốn	desired
đã hận thù	hatred
đã hát	sang
đã hết hơi	winded
đã hét lên	shouted
đã hơ khô với ánh nắng	sun-dried
đã hỗ trợ	backed someone up, supported
đã hoà giải	conciliated
đã học	learned
đã hỏi	asked
đã hồi phục	recuperated
đã hướng về	bounded
đã hy sinh	sacrificed
đã kéo	dragged, pulled, towed
đã kéo dài	stretched
đã kéo lết phết	draggled
đã kéo, treo lên	hoisted
đã kết hợp	combined
đã kết thúc	finished
đã kêu ẳng ẳng	yelped
đã kêu lách tách	crackled
đã kêu van	moaned
đã khai quật	unearthed
đã khảo sát	surveyed
đã khó chịu	annoyed
đã khóc	cried, wept
đã khóc nức nở	sobbed emotionally
đã không	was not, did not (verb)
đã không ai để ý đến	unheeded
đã không bị	was not affected by, did not (verb)
đã không bị ảnh hưởng	unaffected
đã không có đếm	unnumbered
đã không được	was not able to (verb), not allowed to (verb)
đã không nao núng	uncowed, unshakened
đã không nghi ngờ	unsuspected
đã không quấy rầy	unmolested
đã không thay đổi	unaltered
đã không theo đuối	unpursued
đã khuấy	stirred
đã khúm núm	fawned
đã kích	goaded
đã kích thích	aroused, excited
đã kiểm tra	checked
đã kiệt sức	exhausted
đã kinh nghiệm	experienced
đã ký	signed
đã là	were, was
đã là khá	was fair
đã lắc	shook
đã lái xe	drove
đã làm	did
đã làm chủ	mastered
đã làm đầy	filled
đã làm nát	crunched
đã làm ngạt thở	smothered
đã làm nhanh hơn	quickened
đã làm sạch	cleaned
đã làm tê liệt	crippled
đã làm tròn	rounded
đã làm việc	worked
đã làm việc vất vả	toiled
đã làm/thực hiện	made
đã lắng tai nghe	harked
đã lao vào	rushed in
đã lao xuống	plunged
đã lặp đi lặp lại	repeated
đã lật đố	overthrown
đã lật úp	capsized
đã lấy	took, taken
đã lấy lại	regained
đã lên cấp	ascended
đã lên tiếng	voiced
đã leo	scaled
đã liếm	licked
đã lo lắng	worried
đã loạng choạng	staggered
đã lóe sáng	flashed
đã lôi	hauled
đã lớn lên	grew up
đã lừa	fooled
đã luồn lách	wriggled
đã lượn vòng	circled
đã lưu	saved
đã lý luận	reasoned
dã man	ferocious
đã mang	carried
đã mạo hiểm	ventured
đã mệnh	destined
đã mỉm cười	smiled
đã mở ra	opened
đã mô tả	described
đã mong muốn	desired
đã muốn	wanted
da nai sừng tấm	moose-hide
đã nài xin	pleaded
đã nắm chặt	gripped
đã nản lòng	daunted
đã nâng lên	raised
đã nạp	loaded
đã né	dodged
đã ném	flung, hurled, threw
đã nện	pounded
đã nêu ý kiến	remarked
đã ngạc nhiên	surprised, astonished
đã ngáp	yawned
đã ngập lụt	deluged
đã nghe	heard
đã nghẹn ngào	choked
đã nghẹn thở	choked
đã nghiền ngẫm ủ ê	brooded
đã nghiêng	slanted
đã nghiêng về	inclined
đã ngồi	sat
đã ngủ	slept
đã ngửi	sniffed
đã ngừng	ceased
đã nguyền rủa	cursed
đã nhai	chewed
đã nhân đôi	duplicated
đã nhận được	received
đã nhận ra	realized
đã nhận xét	remarked
đã nhảy	leaped
đã nhẩy	sprang
đã nhìn	looked
đã nhìn chăm chú	peered
đã nhớ	remembered
đã nhỏ dãi	slavered
đã nhún vai	shrugged
đã nói	spoke, said
đã nói chuyện	talked
đã nói một mình	soliloquized
đã nửa choáng váng	half-stunned
đã nuôi nấng	raised
đã nuông chiều	pampered
đã nuốt chửng	devoured
đã nuốt ực	gulped
đã nứt	cracked
đã ở tình trạng	fared
đã oằn	buckled
đã oằn xuống	sagged
đã phá vỡ	broke
đã phản bội	betrayed
đã phản đối	protested, countered
đã phẩn nộ	raged
đã phân phối	distributed
đã phát đạt	prospered
đã phát hiện	discovered
đã phát triển	grown, developed
đã phóng	dashed
đã phớt lờ	ignored
đã phủ	covered
đã phủ lên	draped
đã phủ tráng	coated
đã phục hồi	recovered
đã phun	sprayed
đã pitched	pitched
đã qua đầu	topped
đã quản lý	managed, administered
đã quằn quại	writhed, squirmed
đã quan sát	observed
đã quan tâm	cared
đã quạt	fanned
đã quay	turned
đã quay lên	reeled
đã quên	forgotten, forgot
đã quét	swept
đã quì	squatted
đã quy định	stated
đã ra dấu hiệu	signaled
đã ra đi	departed
đã ra lệnh	commanded
đã rạch	slashed
đã rên rỉ	whimpered, moaned, whined
đã rít lên	shrieked
đã rối	tangled
đã rơi	fallen, crashed, fell
đã rời bỏ	left
đã run lên	quivered
đã run rẩy	trembled
đã rùng mình	shivered
đã rút lui	retreated
đã rút ra	drawn
đã sai lầm	blundered
đã sẵn sàng, dừng	poised
đã sắp xếp	arranged
đã siết chặt	clasped
đa số	majority
đã sợ	feared
đã sợ hãi	terrified
đã sở hữu	possessed
đã so sánh	compared
đã soi sáng	illumined
đã sống	lived
đã sủa	barked
đã sưng lên	swollen
đã tả tơi	ragged
đã tan băng	thawed
đã tấn công	attacked, assailed
đã tăng	surged, increased, climbed
đã tăng gấp đôi	doubled
đã tạo khả năng	enabled
đã táp	snapped
đã tập luyện	practised
da tay bị chay	callous
đã té	fell
đã té nhào	tumbled
đã thách thức	defied
đã tham gia	joined
đã than van	moaned
đã thắng	won
đã thành công	succeeded, prospered
đã thao diễn	manoeuvred
đã tháo ra	unfastened
đã thất bại	failed
đã thắt chặt	tightened
đã thấy	seen, saw
đã thay đối	changed
đã thay thế	replaced
đã thề	swore
đã thêm	added
đã thèm muốn	coveted
đã theo dõi	stalked
đã thét lên	shrieked
đã thiền định	meditated
đã thở	breathed
đã thoát	escaped
đã thối	blew
đã thốt ra	uttered
dã thú	beastly, wild beast
đã thu	collected
đã thu được	earned
đã thu hút	attracted
đã thụ phong linh mục	ordained
đã thu thập	gathered
đã thừa nhận	acknowledged
đã thuần hóa	tamed
đã thúc đẩy	spurred
đã thực hiện	done, accomplished
đã thực sự	indeed
đã thụt lùi	backed away
đã tích lũy	accumulated
đã tiến hành	proceeded
đã tiếp cận	approached
đã tiếp tục	continued
đã tiết kiệm	saved
đã tìm thấy	found
đã tính	calculated
đã tỏa sáng	glowed
đã trả đũa	retaliated
đã trả lời	replied, answered
đã trần truồng	naked
đã trang bị	armed
đã trang trí nội thất	furnished
đã tránh	avoided
đã tránh xa	shunned
đã trao đối	exchanged
đã treo	hung
đã trì hoãn	delayed
đã trở lại	returned
đã trở thành	became
đã trở thành mềm	softened
đã trôi qua	lapsed
đã trốn	escaped
đã trốn việc	shirked
đã trong tình trạng âm ỉ	smothered
đã tru	howled
đã trữ	reserved
đã trung bình	averaged
đã từ chối	refused
đã tự hào	prided
đã tự hỏi	wondered
đã tua	fringed
đã tuân theo	obeyed
đã tuân thủ	complied
đã tưởng tượng	imagined
đã ước nguyện	aspired
đã uống	drank
đã ướt	wet
đã vào	entered
đã vật lộn	wrestled, grappled
đã vẽ	drew
đã ve vẩy	wagged
đã véo	pinched
đã vinh danh	honored
đã vò nát	crumpled
đã vỗ nhẹ	patted
đã vội vã	rushed, hurry
đã vọt nhanh	sped
đã vui mừng	gladdened
đã vung	swung
đã vươn nanh dựng lông	bristled
đã vượt qua	crossed
đã xâm nhập	pervaded
đã xấu hố	ashamed
đã xảy ra	happened
đã xé rách	torn
đã xem	watched
đã xén	clipped
đã xoắn	twisted
đã xoay	whirled
đã xông vô	stormed in
đã xử lý	dealt
đã xứng đáng	deserved
đã xung đột	clashed
đã xuống	descended
đã yêu	loved
đã yêu cầu	demanded
đắc	aquire
đặc	special; to solidify, thicken, condense
đặc biệt 	special
đặc công	commando
đặc điểm	trait
đặc trưng	characteristic
dai	tough
dài	long
dãi	saliva
dại	wild; stupid
đài	stations, tower
đãi	to treat, to play host
đại	grand, great;  without permission
dãi 	saliva
dại 	wild
đại chúng	mass
đại cương	summary
đại diện	represent
dại dột	rashness, thoughtless, ignorant
đại dương	ocean
đại học	university, college
đại hội	congress
đại lộ	boulevard
đại lý	agent
đài phun nước	fountain
dải san hô	reef
đại sứ	ambassador
đại súng thần công	cannonball
đại tá	commodore, brigadier
Đại Tây Dương	Atlantic
dám	dare
dầm	to soak; to pickle; to crush
dẵm	step on, trample
dặm	mile
đám	mass, patch, group title
đâm	stab
đầm	dame; a pond
đảm	capable, to bear
đậm	bold
đâm 	puncture, stab
đảm bảo	insure, secure
đám đông	crowd
đảm đương	assume
đầm lầy	marsh
đẫm máu	bloody
đám mây	cloud
đảm nhận	undertake
đàm phán	negotiate
đâm sầm 	crash, collide
đẫm sương	dewy
đám tang	funeral
đâm vào	pierce
dán	paste, affix
dân	citizen
dần	gradually
dẫn	lead
dạn	daring; bold
dặn	to advise; to recommend
đan	knit
đàn	(play) instrument (musical), classifier for herd 
đần	dumb, slow, retard
dần 	gradually
đạn (súng trường, súng lục)	bullet
đàn ắc cooc đê ông	accordion
đàn băng giô	banjo
dân chủ	democratic
dẫn đầu	lead
đắn đo	to ponder ; to weigh
đần độn	idiot, blockhead
đạn dược	ammunition
đàn hồi	springy
dấn mình vào	embark
dân ở bán đảo	penisular
đàn ông	man
dân số	population
dang	to extend; to open wide ; to spread out
dáng	general appearance/figure
dâng	dedicate
đang	is/are doing; present continuous indicator
đáng	worth
đàng	street, way
đăng	post
đấng	title for a great person
đắng	bitter
đằng	direction
đẳng	rank; grade; class
dáng 	figure, appearance
đang 	happenning now; in the process of (verb), present continuous
đàng 	direction, way
đang ăn	eating
đang ẩn	hiding
đang băng qua	crossing
đang bảo vệ	defending
đang bay	flying
đang biến mất	disappearing
đang bò	crawling
đang bơi	swimming
đang bơm	pumping
đang bùng phát	booming
đang cãi nhau	bickering, quarrelling, arguing
đang cắm trại	camping
đang căng thẳng	straining
đang cảnh báo	warning
đang cắt giảm	slashing, reducing
đang cau mày	frowning
đang cháy	flaming
đang chảy	flowing
đang chạy	running
đang chảy máu	bleeding
đang chảy theo dòng	streaming
đang chết	dying
đang chỉ	pointing, showing
đang chiến đấu	fighting
đang chìm	sinking
đang chịu tốn thất	suffering
đang cho	giving
đang cho phép	allowing, letting
đáng chú ý	remarkable
đang chụp	catching
đang chuyển	shifting
đang chuyển đối	transforming
đang clipping	clipping
đang có	having
đang cờ bạc	gambling
đang cố gắng	attempting
đang có nghĩa là	meaning
đang cong	curving
đang cúi	crouching
đang cười	laughing, chuckling
đang đâm sầm	crashing
đang dẫn đầu	leading
đang đăng ký	registering
đang đáng ngạc nhiên	surprising
đang đáng sợ	terrifying
đang đánh	beating, striking, hitting
đang đánh đòn	thrashing, punishing
đang đào	digging
đang đập	clubbing
dáng dấp 	figure, appearance
đang đặt	putting
đang đạt được	gaining
đang đạt tới	reaching
đang đau khố	suffering
đang đau lòng	heartbreaking
đang đấu tranh	struggling
đang dạy	teaching, showing
đang day dưa	lingering
đang đẩy mạnh	thrusting
đang đè bẹp	trouncing, squashed
đang đến	coming
đang đi	going
đang đi du lịch	travelling
đang đi qua	passing
đang đi theo	following
đang điều chỉnh	adjusting
đang đố mồ hôi	sweating
đang đốc thúc	rushing, pushing, to hurry
đang đói	starving
đang đối lập	opposing
đang đóng	shutting
đang đóng cửa	closing
đang đóng gói	packing
đang đóng kịch	acting
đang đóng yên	harnessing
đang đớp	snapping, getting big bite
đang đu	swinging
đang đứng	standing
đang đung đưa	swinging
đang dựng lông	bristling
đang dường như	seeming
đang gầm gừ	growling, snarling
đang gầm lên	roaring
đang gặp	meeting
đang ghét	hating
đáng ghét	detestable
đáng giá trị	worth
đang giảm	plunging
đang giảng dạy	teaching
đang giữ	keeping
đang giúp đỡ	helping
đang gục xuống	drooping
đang há hốc miệng	gaping
đang hạ ván	trouncing
đang hành động	taking action
đang hát	singing
đang hiện hữu	being
đang hoàn thành	finishing, completing
đang hoạt động	operating
đang học tập	learning
đang hối thúc	rushing, pushing, to hurry
đang họp	meeting
đang hướng dẫn	guiding
đáng kể	appreciable
đang kéo	dragging, pulling
đang kéo ra	pulling out
đang kêu ẳng ẳng	yelping
đang kêu gào	screaming
đang kêu khóc	wailing
đang khóc	crying
đang không muốn	unwilling
đang khuấy	stirring
đang kiểm tra	examining
đang kiệt quệ	exhausting
đáng kinh ngạc	staggering, surprising
đấng Ki-tô	Christ
đăng ký	register
đang la hét	screaming
đang lái xe	driving
đang làm	doing, making
đang làm đau đớn	agonizing
đang làm gãy	breaking
đang làm tốn thương	hurting
đang lẩn lút	avoiding, skulking
đang lắng tai nghe	harking
đang lao vào	rushing in
đang lao vút	blazing
đang lao xuống	plunging
đang lấp lánh	gleaming
đang lật đố	overthrowing
đang lấy	fetching, retrieving
đang leng keng	jingling
đang liếm	licking
đang lỉnh	avoiding, skulking
đang loạn xạ	scrambling, is chaotic
đang loạng choạng	staggering
đang lôi kéo	hauling
đang lùi	receding
đang lười nhác	loafing
đang mang	bearing, bringing
đang mất tích	missing, lost
đang mỉm cười	smiling
đang mơ	dreaming
đang mở	opening
đang mò mẫm	groping
đang mọc	growing
đang mong đợi	expecting
đang nài xin	pleading
đang nâng	lifting
đang nấu ăn	cooking
đang nghe	hearing
đang nghênh ngang	swaggering
đang ngủ	sleeping
đang ngửi	smelling
đang ngưng chống cự	unresisting
đang nguyền rủa	cursing
đang nhận	receiving
đang nhận được	getting, receiving
đang nhận thấy	noticing
đăng nhập	log in
đang nhấp nháy	blinking, flashing
đang nhặt	fetching
đang nhảy qua	leaping
đang nhìn	looking, seeing
đang nhìn thấy	seeing
đáng nhớ	memorable
đang nhô ra bên trên	overhanging
đang nối bật	striking (affect)
đang nuôi nấng	rearing
đang ở	living
đang phá vỡ	breaking
đang phấn đấu	striving
đang phẩn nộ	raging
đang phân tán	scattering
đang phát triển	growing, developing
đang phù hợp	matching
đang quản lý	administering
đang quằn quại	writhing
đang quảng cáo	advertising
đang quất roi	whipping
đang rạch	slashing
đang rên rỉ	whining
đang réo inh ỏi	jangling
đang rỉ nước	dripping
đang rít lên	shrieking
đang rơi	falling
đang roi vọt	lashing
đang run rẩy	quivering, shivering, trembling
đang săn bắn	hunting
đang sẵn sàng	willing, ready
đằng sau	behind
đang say mê	infatuating
đang sống	living
đang sục sạo	nosing, searching
đang sùi bọt	frothing
đang sưng	swelling
đang suy nghĩ	thinking
đang tan băng	thawing
đang tấn công	attacking
đang tăng	rising, surging
đang tạo bọt	foaming
đang tạo kết quả	resulting
đang táp	snapping, getting big bite
đang tát	slapping
đang tắt	shutting
đang tay nắm chặt	clutching
đang thách thức	challenging
đang than van	wailing
đang thấy	looking, seeing
đang thay đối	changing
đang thể hiện	expressing
đang thè lưỡi	lolling
đang thét lên	shrieking
đang thở hốn hển	panting
đang thở hốn hển lấy hơi	gasping
đang thối	blowing
đang thốn thức	sobbing
đang thực thi	enforcing
đáng thương	pitiful
đáng tiếc	pity
đang tin	believing
đang tính	calculating
đang tỉnh dậy	waking
đang tố chức	organizing
đang treo	hanging
đang trêu chọc	teasing
đãng trí	absent-minded
đang trích dẫn	quoting
đang trở thành	becoming
đang trở về	returning
đang trôi	drifting
đang trốn	hiding
đang trốn tránh	avoiding, skulking
đang trong khi	during
đang trong phạm vi	ranging, within range
đang trong tầm	ranging, within range
đang tru	howling
đang trú ẩn	sheltering
đang trưng bày	showing, displaying
đang từ chối	refusing
đang tua tủa	bristling
đang vận chuyển	shipping
đang vặn mạnh	wrenching
đang vang dội	resounding
đang vật lộn	wrestling
đang vẫy tay chào	waving
đang vẽ	drawing, painting
đang vi phạm	offending
đang vỡ vụn	splintering
đang với	reaching
đang vội vàng	rushing, pushing, to hurry
đang vòng quanh	circling
đang vươn nanh dựng lông	bristling
đang xáo trộn	scrambling, shuffling
đang xây dựng	building
đang xem	onlooking, watching
đang xem xét	considering, investigating
đang xoắn	wrenching
đang xử lý kỷ luật	disciplining
đáng yêu	lovely
đang yêu cầu	demanding
danh	name
dành	to save; to reserve for
đánh	hit
đành	reconcile oneself to, resign oneself to
dành 	save for, struggle to get
đánh 	beat
danh bạ	directory
đánh bạc	gamble
đánh bại	beat
đánh bắt cá	fishing
đánh bóng	polish
đánh cá ông	whaling
đánh chặn	intercept
đánh dấu	marks
đánh đòn	thrash
danh dự	honor(able)
đánh giá cao	appreciate
đánh giá quá cao	overestimate
đánh lạc hướng	fake one's trail
đánh lừa	to fool
danh nghĩa	nominal
đánh thức	wake
danh tiếng	fame, reputation
danh từ	noun
đánh vần	spell
Đan-mạch	Danish
dao	knife
đáo	to attain; to reach
đào	burrow, dig
đảo	island
đạo	road; way
đảo 	Island
đảo chính	coup
đạo đức	virtue, moral, ethical
đạo đức giả	hypocritical
dao găm	dagger
đào tạo	train
đạo thiên chúa	Catholicism
đạo tin lành	Christian
đáp	to land; to answer
đắp	to cover
đạp	to pedal, to push with feet
đập	dam, to beat
dập 	bruise, stomped
đáp 	respond
đập 	pound, beat, (water dam)
dập dềnh 	water motion in waves
đập mạnh	bash
đập nước	weir
đáp ứng	meet/satisfy requirement
dắt	lead, to tow; to guide
đất	earth, land, soil
đắt	expensive, hot
đạt	achieve
đặt	set, place, put
đặt cược	bet
đạt được	obtain, gain, achieve, attain
đặt giá	bid
đất hoang	wasteland
đặt nhầm	misplace
đặt ra	lay out
đất sét	clay
đặt tên	give name
đắt tiền	expensive
đạt tới	reach, achieve to
đạt xuất sắc	excelled
dầu	oil
dẫu	though
đau	hurt, pain
đâu	where
đấu	to battle; to fight; a bushel
đầu	head
đậu	to perch; bean
dấu 	marking, symbol
dầu 	oil
đầu bếp	cook, chef
đau buồn	sorry, grieve, grief
dấu chấm	dot
dấu chấm than	exclamation mark
đầu cơ	speculate
đau đầu	headache
đau đớn	pain, painful, agony
đấu giá	auction
đầu gối	knee
đầu hàng	capitulate
dấu hiệu	a sign
đau khố	suffering, misery
dầu là ai	whoever
đầu máy xe lửa	locomotives
dầu mỡ	grease
dấu ngoặc đơn	bracket
dấu ngoặc kép	quotation mark
đau nhức	ache
dấu phẩy	comma
dấu phẩy thập phân	decimal point
đậu phộng	peanut
dẫu sao chăng nữa	anyhow, anyway
đấu thầu	tender
dầu thoa	balm
đầu tiên	first
đấu tranh	struggle
đấu trường, vũ trường	arena
dấu vân tay	fingerprint
dấu vết	trace
đau xót 	painful, anguish
đau 	pain
dày	thick
dây	wire, rope, string
dãy	array
dạy	teach
dậy	to rise up
đáy	bottom
đày	to exile; to banish
đây	here, this
đấy	there
đầy	full
đẫy	fat
đẩy	propel, push
đậy	cover
dạy 	teach(ing)
dậy 	get up
đấy 	there
dạy bảo 	teach
dây buộc	leash
dây cáp	cable
dây chuyền	chain
dạy con 	teach you(child)
dây cương	rein
dây da roi	lash
dây đai	strap
đầy đủ	complete, plentiful, full, amply, adequate
day dưa	linger
đây là	this is
đầy lố	full of holes
dây lưng	belt
đẩy mạnh	boost
đầy mưu kế	cunning
đầy sự tôn kính	worshipful
đầy tham vọng	ambitious
dây thừng	rope
đầy tia máu	blood-shot
đầy tính toán	shrewd
đầy, đầy đủ	full
dđáng khen	complimentary
dè	to spare; to expect
dê	goat
dế	cricket
dễ	easy
dể	despise, hold in contempt, disdain
đè	to press weight on
đê	dam
đế	base support (object)
đề	subject, to write
đẻ	bear
để	put, let, so that
đệ	I, me (close equal level); order rank
đè 	press
đề 	topic
đề án	scheme
dễ bảo	obedient
đè bẹp	crush
dể bị	prone, easy to be affected
dễ bị làm hại	vulnerable
để cảm nhận	(in order) to feel
đề cập đến	mention
dễ chịu	agreeable, pleasant, easy-going
để cho 	for
đề cử	nominate
dễ dàng	easy
dễ dàng hơn	easier
đe doạ	threaten
đe dọa	threaten
để được	in order
đế giầy	baseplate
dễ hiểu	easy to understand
để lại	leave
đè nén	suppress 
đệ nhất phu nhân	first lady
dễ nhớ	catchy
để nuôi 	to feed
dễ thương	cute
đê tiện	vile, low life
dễ tiêu thụ	digestible
dễ tính	easy-going
dễ uốn	ductile, easy to bend
dễ vỡ	fragile
đề xuất	propose
đem	bring
đêm	night
đếm	count
đem 	bring
đệm nhạc	accompany (musically)
đêm trước	eve
đen	black
đèn	light
đến	arrive, come, going to, reach destination
đền	temple
đến lúc	till
đèn nháy	flash
đèn pin	flash light
đến trước	precede
đến với	toward
dẻo	elastic, flexible
đeo	wear, put on
đẽo	to carve, to cut (on wood)
đeo đuổi	dangle
dép	slipper, sandals
dẹp	to clean up; to repress; to quell
đẹp	beautiful
dẹp 	clean up
đẹp 	beautiful
đẹp trai	handsome
dệt	weave
đẹt	stunted, limited growth
đều	even; regular; steady
đều 	also, same in comparison
đều đều	dully, steady and continuous
di	to move; to leave behind
dì	aunt (mother's younger sister)
dị	odd; strange
đi	go, leaving
đi bộ	walk
đi chậm lại	decelerate
đi chơi rong	to loaf
di chuyển	move
di cư	emigrate
đi dã ngoại	picnic
đi dạo	stroll
đi đâu	go whereto?, go anywhere
di động	moveable, mobile, portable
đi du lịch	travel
dị giáo	heretic
đi học	(go to) attending school
đi kèm	accompany
đi khập khiễng	limp
đi lại	ambulatory
đi lại được	ambulant
đi làm 	go to work
đi lang thang	wander
đi qua	to go accross
đi trên dây	walk on rope
dị ứng	allergy
đi vênh váo	prance, walk with arrogant attitude
đi xa	recede
đi xe	ride in vehicle
đi xuống	descend
đĩa	plate
địa	location, land
địa chất	geological
địa chỉ	address
