a	một
compared	đã so sánh
comparison	so sánh
compartment	ngăn
compass	la bàn
compassion	lòng thương
compassionate	thương hại
compatible	tương thích
compel	bắt buộc
compellable	bắt buộc
compelled	đã bắt buộc
compelling	thuyết phục
compellingly	hấp dẫn
compendium	bản trích yếu
compensate	bồi thường
compete	cạnh tranh
competent	có thẩm quyền
competition	cạnh tranh
competitive	cạnh tranh
competitor	đối thủ
compile	biên soạn
complain	phàn nàn
complained	phàn nàn
complaint	khiếu nại
compleat	hoàn hảo
complement	bổ sung
complementary	bổ sung
complete	hoàn thành
completely	một cách hoàn toàn
completeness	sự đầy đủ
completion	hoàn thành
complex	phức tạp
compliant	phù hợp với
complicate	phức tạp
complicity	tội đồng lõa
complied	đã tuân thủ
compliment	lời khen
complimentary	dđáng khen
comply	tuân thủ
component	thành phần
comport	xử sự
compose	soạn
composite	ghép lại
composition	hợp thành
compost	phân trộn
composure	bình tĩnh
compound	hợp chất
comprehend	hiểu
comprehensible	dễ hiểu
comprehension	hiểu
comprehensive	tổng hợp
comprehensively	toàn diện
compress	nén
compressed	nén
compressor	máy nén
compromise	thỏa hiệp
compulsion	bắt buộc
compulsive	bắt buộc
compulsory	ép buộc
computation	ước tính
compute	tính toán
comrade	bạn
comradely	một cách bạn bè
comrades	đồng chí
comradeship	tình bạn bè
con	khuyết điểm
conceal	che giấu
concealed	che dấu
concealment	sự che đậy
concede	thừa nhận
conceive	thụ thai
concentrate	tập trung
concept	khái niệm
conception	thụ thai
concern	liên quan
concerned	quan tâm
concerning	liên quan đến
concert	buổi hòa nhạc
concerto	côngxecto
concession	nhượng bộ
conch	ốc biển
conciliate	hoà giải
conciliated	đã hoà giải
concise	ngắn gọn
concision	sự ngắn gọn
conclave	buổi họp kín
conclude	kết thúc
conclusion	kết luận
conclusive	cuối cùng
conclusively	kết luận
concrete	bê tông, chắc chắn
concubine	thê thiếp
concur	tán thành
concurrent	đồng quy
concussion	chấn động
condemn	lên án
condensate	ngưng
condense	ngưng
condiment	gia vị
condition	điều kiện
conditional	có điều kiện
conditions	những điều kiện
condolence	lời chia buồn
condone	bỏ qua
conduct	tiến hành, hành vi
conductor	chất dẫn
cone	hình nón
confederate	liên minh
confer	phong
conference	hội nghị
confess	thú tội
confessed	thú nhận
confidence	sự tự tin
confident	tự tin
confidential	bí mật
confidently	một cách tự tin
configuration	hình dạng
configure	thiết lập cấu hình
confine	giam giữ
confined	đã giới hạn
confines	biên giới
confirm	xác nhận
conflict	xung đột
confront	đương đầu
confuse	gây nhầm lẫn
confused	nhầm lẫn
confusion	sự nhầm lẫn
congenial	thích hợp
congenital	bẩm sinh
congest	tắc nghẽn
congested	bị ngăn trở
congestion	tắc nghẽn
congestive	sung huyết
congratulate	chúc mừng
congratulation	sự chúc mừng
congregate	tụ hợp
congress	đại hội
congressional	quốc hội
congruent	thích hợp
conic	cônic
conifer	cây có quả hình nón
conjectural	căn cứ theo phỏng đoán
conjecture	phỏng đoán
conjoin	nối
conjoint	kết hợp
conjugate	liên hợp
conjunction	liên kết
conjuration	cuộc âm mưu
conjure	gọi hồn
connect	kết nối
conquer	chinh phục
conscience	lương tâm
conscious	có ý thức
consent	đồng ý
consequence	hậu quả
conservatory	nhà kính
conserve	bảo tồn
consider	coi
considerate	quan tâm
consideration	sự xem xét
considered	coi
considering	đang xem xét
consign	giao phó
consignee	người nhận hàng
consignment	lô hàng, hàng gửi
consignor	người gửi hàng
consist	gồm có
consistent	nhất quán
consolation	an ủi
console	an ủi
consolidate	củng cố
consonant	phụ âm
conspicuous	hiển nhiên
conspiracy	âm mưu
conspire	âm mưu
constant	liên tục
constantly	một cách liên tục
consternation	sự kinh hoàng, sự kinh ngạc
constipate	làm táo bón
constitute	thành lập
Constitution	hiến pháp
constrain	ép buộc
constraint	liên kết
constrict	thắt
construct	xây dựng
constructor	người xây dựng
consul	lãnh sự
consular	lãnh sự
consulate	lãnh sự quán
consult	tham vấn
consultant	cố vấn
consultation	tham khảo ý kiến
consume	tiêu thụ
consummate	tài giỏi
contact	liên hệ
contagion	sự truyền nhiểm
contain	chứa
contained	chứa đựng, kềm lại, ngăn lại
container	cái đựng (lọ, chai, bình …)
contaminate	gây ô nhiễm
contemplate	dự tính
contemplation	sự chiêm niệm
contemporary	đương đại
contempt	coi thường
contend	tranh luận
contended	tranh đấu
content	nội dung
contents	những nội dung
contest	cuộc thi
contiguous	tiếp giáp
continent	lục địa
continental	thuộc địa
contingent	bất ngờ
continual	liên tục
continually	một cách liên tục
continue	tiếp tục
continued	đã tiếp tục
continuity	liên tiếp
continuous	liên tục
contour	đường bao quanh
contract	hợp đồng
contracted	đã ký hợp đồng, (bị) nhiễm
contractor	nhà thầu
contraption	máy kỳ cục, mẹo để thay thế tạm thời
contrary	điều trái lại
contrast	sự tương phản
contribute	đóng góp
contribution	đóng góp
control	chủ động kềm chế
controversial	gây tranh cãi
controversy	tranh cãi
convalescence	nghỉ dưỡng, hồi phục
convention	quy ước
converge	cùng quy tụ
conversation	cuộc trò chuyện
converse	trò chuyện
convert	biến đổi
convertible	chuyển đổi được
convey	truyền đạt
conveyance	sự thông tin, bộ phận chuyển kéo
convict	kết án
convince	thuyết phục
convulse	làm rung chuyển
convulsed	co giật
convulsion	chấn động
convulsive	co quắp
cook	nấu ăn
cookie	bánh quy
cooking	đang nấu ăn
cooks	những đầu bếp
cool	nguội, mát
coolant	dung dịch làm nguội
coolly	một cách ung dung bất cần
cooperate	hợp tác
coordinate	phối hợp
cop	cảnh sát
cope	đương đầu
copies	những bản sao chép
copious	phong phú, dồi dào, hậu hỉ
copper	đồng
copy	bản sao
coral	san hô
cord	sợi dây
corduroy	nhung kẻ
core	lõi
cork	nút chai
corn	ngô
corner	góc
cornered	góc
corny	cũ rích
corporal	thuộc cơ thể
corpse	xác chết
corral	lùa vào bãi quây
correct	chính xác
correspond	phù hợp
correspondent	phóng viên
corridor	hành lang
corroborate	làm chứng
corrosion	ăn mòn
corrupt	mục nát
corruption	tham nhũng
cortex	vỏ
cosmetic	thẩm mỹ
cosmic	vũ trụ
cosmopolitan	toàn thế giới
cosmos	vũ trụ
cost	chi phí
costume	trang phục
cosy	làm ấm
cot	giường cũi
cottage	nhà sàn
cottages	căn nhà nhỏ
cotton	bông
couch	ghế
cough	ho
could	đã có thể
couldn't	không thể
council	hội đồng
counsel	lời khuyên
counselor	cố vấn
count	tính, đếm
counted	tính
counter	máy đếm
countered	đã phản đối, đối đáp lại
countless	vô số
country	nước
coup	đảo chính
couple	cặp vợ chồng
courage	can đảm
courageous	dũng cảm
courier	chuyển phát nhanh
course	quá trình, lớp
court	tòa án
courtyard	sân trong
cousin	anh (em) họ
cousins	anh chị em họ
cove	vòm
covenant	hiệp ước
cover	che, cái tấm che
coverage	tin tức
covered	đã phủ
coverings	những  tấm trải
coverlet	khăn trải giường
covert	che lấp
covet	thèm muốn
coveted	đã thèm muốn
cow	bò cái
coward	nhát gan
cowardice	nhút nhát
cows	bò
crab	cua
crack	nứt
cracked	đã nứt
crackled	đã kêu lách tách
crackling	tiếng kêu rắc
cradle	cái nôi
craft	nghề thủ công
craftily	một cách tinh xảo
craftsman	thợ thủ công
cramp	chứng chuột rút
crane	giàn giáo
crank	tay quay
crap	chuyện tào lao
crash	tai nạn
crashed	đã (bị) rơi, bị đụng, đâm sầm
crashing	đang đâm sầm
crass	đần độn
crate	thùng
crater	miệng núi lửa
craters	những miệng núi lửa
crates	những cái thùng gổ
crave	ao ước
craven	hèn nhát
crawl	thu thập dữ liệu
crawled	đã bò
crawling	đang bò
crayfish	tôm
crazed	đã điên rồ
crazy	điên
creak	tiếng cọt kẹt
crease	nếp nhăn
create	tạo ra
creature	sinh vật
creatures	những sinh vật, thú
creche	nhà trẻ
credential	giấy ủy nhiệm
credit	tín dụng, hạnh kiểm
creditor	chủ nợ
creed	tín ngưỡng
creek	sông suối nhỏ
creep	leo
creeping	leo, len
creepy	sởn gai ốc
cremate	hỏa thiêu
crematory	nhà hỏa táng
crept	đã bò lê
crescent	trang lưỡi liềm
crest	vầng
crew	phi hành đoàn
crib	cũi
cricket	bóng chày
crickets	dế
cried	đã khóc
crime	tội phạm
criminal	tên tội phạm
crippled	đã làm tê liệt
crisis	khủng hoảng
crisp	khô teo đi
crispy	giòn
criteria	tiêu chí
critic	nhà phê bình
critical	tối quan trọng
criticize	chỉ trích
crocodile	cá sấu
crone	bà già
crony	bạn chí thân
crook	cái gậy
crop	cây trồng
cross	đi qua
crossed	đã (bị) vượt qua
crosses	đi qua
crossing	đang băng qua
crosswalk	lối sang đường dành cho người đi bộ
crotch	đũng quần
crouch	sự núp, co mình
crouched	đã cúi, co mình
crouching	đang cúi
crow	con quạ
crowd	đám đông
crowded	đông
crowed	đã gáy
crown	vương miện
crucial	quan trọng
crucify	hành hạ
cruel	độc ác
cruelly	độc ác
cruelty	sự tàn ác
cruise	chuyến du lịch trên tàu
crumb	miếng vụn
crumble	đổ nát
crummy	rẻ mạt
crumple	vò nhàu
crumpled	đã vò nát
crunch	giòn nát
crunched	đã làm nát
Crusade	chiến dịch
crush	đè bẹp
crushing	nghiền, đè bẹp
crushingly	một cách mãnh liệt
crust	lớp vỏ
crutch	cái nạng
cry	kêu, khóc
crying	đang khóc
cryptogram	tài liệu viết bằng mật mã
crystal	pha lê
cub	con thú con
cube	cục
cucumber	dưa chuột
cuddle	cuộn mình
cue	ám chỉ
cuff	cổ tay áo
cuisine	nấu ăn
culinary	nấu ăn
culprit	thủ phạm
culprits	những thủ phạm
cultivate	canh tác
culture	văn hóa
cumulate	tích lũy
cumulus	mây tích
cunning	đầy mưu kế
cunningly	một cách tinh khôn
cup	cốc, tách, chén
cupboard	tủ quần áo
curb	kiềm chế
curdle	đóng cục
cure	chữa bệnh
curfew	lệnh giới nghiêm
curiosity	tò mò
curious	tò mò
curiously	một cách tò mò
curled	đã cuốn lên
curly	quăn
current	hiện tại
curriculum	chương trình giảng dạy
curse	chưởi rủa
cursed	đã nguyền rủa
curses	(những) nguyền rủa
cursing	đang nguyền rủa
curve	đường cong
curved	đã cong
curving	đang cong
custody	giám hộ
custom	tùy chỉnh
customary	thông thường
customer	khách hàng
cut	cắt
cute	dễ thương
cuts	(những) xén, cắt (giảm)
cutting	cắt
cycle	chu kỳ
cylinder	hình trụ
cyst	u nang
dad	bố
daffodil	cây thủy tiên hoa vàng
dagger	dao găm
daily	hàng ngày
dainty	ngo
dairy	cửa hàng bơ sữa
dam	đê
damage	thiệt hại
damn	khốn kiếp
damnation	sự đọa đày
damp	ẩm ướt
dams	đập nước
dance	nhảy
dancing	nhảy múa
dandelion	cây bồ công anh
dandruff	gầu
danger	nguy hiểm
dangerous	nguy hiểm
dangle	đeo đuổi
Danish	Đan-mạch
dare	dám
dared	đã dám
dark	tối
darken	làm u ám
darkness	bóng tối
darling	yêu quý
darn	mạng
dart	mũi tên
darted	lao, phóng
dash	phóng
dashboard	cái chắn bùn
dashed	đã phóng
dastard	kẻ hèn nhát
data	dữ liệu
date	ngày tháng
daughter	con gái
daughter in law	con dâu
daughters	những con gái
daunted	đã nản lòng
dawn	bình minh
day	ngày
daybreak	rạng đông
daydream	mơ mộng
daylight	áng nắng ban ngày
days	những ngày
days'	của những ngày
day's	của ngày
daytime	ban ngày
daze	sửng sốt
dazed	đã (bị) choáng váng
dazzle	làm lóa mắt
deacon	người trợ tế
deactivate	làm ngừng hoạt động
dead	chết
deadline	thời hạn
dead-tiredness	mệt mỏi đến như chết
deaf	điếc
deal	giải quyết
dealers	đại lý, tay buôn
dealt	đã (bị) xử lý
dean	hiệu trưởng
dear	thân yêu
dears	yêu quý
death	cái chết
death penalty	án tử hình
deathless	bất tử
death-struggle	cuộc đấu tranh sống chết 
debase	hạ thấp giá trị
debate	tranh luận
debit	ghi nợ
debris	mảnh vụn
debt	món nợ
debtor	người nợ
debts	các khoản nợ
debut	trình diễn đầu tiên
decade	thập kỷ
decadent	sa sút
decay	mục rữa
decease	làm giảm
decedent	người đã chết
deceit	lừa gạt
deceive	lừa gạt
decelerate	đi chậm lại
December	Tháng mười hai
decennial	mười năm một lần
decent	đứng đắn
deception	lừa bịp
decide	quyết định
decided	đã (được) quyết định
decidedly	sự phân biệt rỏ rệt
decimal point	dấu phẩy thập phân
decipher	giải mẵ
decision	quyết định
decisive	quyết định
decivilization	sự suy thoái văn minh
deck	boong
declare	khai báo
declination	độ lệch
decline	suy giảm
decode	giải mã
decomposable	có thể phân hủy được
decompose	phân hủy
decorate	trang trí
decorous	hã nhặn
decrease	giảm
decree	sắc lệnh
decry	chỉ trích
dedicate	cống hiến
deduce	suy lunj
deduct	khấu trừ
deductible	có thể khấu trừ
deed	chứng thư
deeds	hành động
deem	coi
deep	sâu
deepen	làm sâu sắc
deeper	sâu hơn
deeps	những vực sâu
deer	nai
deerhound	loài chó săn nai
default	mặc định
defeat	thất bại
defect	khiếm khuyết
defence	sự phòng thủ
defend	bảo vệ
defendant	người bị kiện
defended	đã bảo vệ
defending	đang bảo vệ
defense	sự bảo vệ
defensive	tự vệ
defer	hoãn
deferred	chờ kết chuyển
defiance	sự thách chiến
defiant	ngang ngạnh
defiantly	thách thức, kiên cường
deficient	sự thiếu
deficit	số tiền thâm hụt
defied	đã thách thức
define	xác định
definite	xác định
definition	định nghĩa
deflate	xì hơi
deflect	làm chệch hướng
deflector	máy đo từ thiên
deform	làm biến dạng
defrost	rã đông
deft	khéo tay
defy	bất chấp
defying	bất chấp
degenerate	thoái hóa
degrade	thoái hóa
degree	độ
dehumidify	làm giảm độ ẩm
dehydrate	làm mất nước
deify	sùng bái
deity	thượng đế
deject	làm thất vọng
dejected	chán nản
delay	trì hoãn
delayed	đã (bị) trì hoãn
delectable	ngon
delectate	vui thích
delegable	có thể ủy quyền
delegate	phái đoàn
delete	xóa
deliberate	thận trọng
deliberately	một cách cố ý
deliberateness	sự cố ý
delicacy	duyên dáng
delicate	tinh vi
delicious	ngon miệng
delight	hân hoan
delights	những sự thích thú
delinquent	phạm tội
delirious	hôn mê
delirium	mê sảng
deliver	cung cấp, giao
delivery	giao hàng
delivery man	người đàn ông giao hàng
delta	hình tam giác
delude	lừa dối
deluge	dồn dập
deluged	đã ngập lụt
delusion	ảo tưởng
deluxe	sang trọng
delve	nghiên cứu sâu
demand	nhu cầu, yêu cầu
demanded	đã (bị) yêu cầu
demanding	đang yêu cầu
demean	hạ mình
demented	mất trí
demerit	khuyết điểm
demesne	lảnh thổ
demigod	á thần
demise	nhượng lại
demit	thôi việc
democracy	dân chủ
democratic	dân chủ
demolish	phá hủy
demolition	phá hủy
demon	yêu tinh
demoniac	bị ma ám
demonic	xuất quỷ nhập thần
demonstrable	có thể chứng minh được
demonstrate	chứng minh
demonstrative	phô trương
demote	giáng cấp
demur	phản đối
demure	từ tốn
demurrer	bác bỏ
den	ổ
deniable	có thể khước từ
denial	từ chối
denied	bị từ chối
denigrate	chê bai
denotation	ký hiệu
denote	biểu thị
denouement	kết cục
denounce	lên án
dense	ngu si
dental	nha khoa
dentist	Nha sĩ
dentistry	khoa răng
denture	hàm răng
denude	lột trần
denunciate	tố cáo
deny	từ chối
deodorant	chất khử mùi
depart	từ trần, từ giã, chết
departed	đã ra đi
department	phòng
department store	cửa hàng bách hóa
departs	khởi hành
departure	ra đi
depend	phụ thuộc
dependent	phụ thuộc
depending	tùy thuộc
depict	miêu tả
deplete	rút hết
depletion	hút cạn
deplore	xót xa
deploy	triển khai
deport	trục xuất
deportation	trục xuất
deportee	người bị trục xuất
depose	cách chức
deposit	tiền gửi
depositary	người giữ đồ gửis
deposited	đã gửi
depositor	người gửi tiền
depository	kho
deposits	(những tiền) gửi
depot	kho
deprave	làm hư hỏng
deprecate	phản đối
deprecatory	cáo lỗi
depreciable	có thể bị giảm giá trị
depreciate	giảm giám trị
depress	làm suy giảm
depressant	giảm đau
depressed	làm phiền muộn
depressing	buồn rầu
depression	phiền muộn
depressor	chất giảm vận động
deprivation	tước đoạt
deprive	tước đoạt
depth	chiều sâu
depths	độ sâu
depute	giao
derail	làm trật bánh
derange	làm trục trặc
derelict	bị bỏ rơi
deride	cười nhạo
derision	chế nhạo
derisive	chế nhạo
derive	lấy được
dermatologist	bác sĩ da liễu
derogate	làm giảm
derogatory	xúc phạm
descend	đi xuống
descendant	con cháu
descended	đã xuống
descendent	con cháu
descent	sự hạ xuống, gốc
describe	mô tả
described	đã mô tả
description	mô tả
descriptive	mô tả
desecrate	báng bổ
desecrater	người báng bổ
desert	rời bỏ
deserted	hoang vu, bỏ rơi
deserve	xứng đáng
deserved	đã xứng đáng
desideratum	ước nguyện
design	thiết kế
designate	bổ nhiệm
desire	ham muốn
desired	đã ham muốn
desires	mong muốn, ham muốn
desirous	khát khao
desist	ngừng
desk	bàn
desolate	đổ nát
desolated	hoang vu
despair	tuyệt vọng
despatches	những công tác
desperado	kẻ liều mạng tuyệt vọng
desperate	tuyệt vọng
desperately	tuyệt vọng
desperation	sự tuyệt vọng
despicable	hèn hạ
despise	khinh khi
despite	mặc dù
despoil	chiếm đoạt
despond	thất vọng
despondent	thất vọng
despot	kẻ chuyên quyền
despotic	chuyên chế
dessert	món tráng miệng
destabilize	làm mất ổn định
destine	dự định
destined	đã mệnh
destiny	số phận
destitute	không có
destroy	phá hủy
destroyed	đã bị phá hủy
destroying	phá hủy
destruct	phá hủy
destruction	phá hủy
destructor	hủy
desuetude	lỗi thời
desultory	lung tung
detach	gỡ ra
detail	chi tiết
details	chi tiết
detain	giam giữ
detect	phát hiện
detection	phát hiện
detector	máy dò
detent	cái chốt
detention	giam giữ
deter	ngăn chặn
detergent	chất tẩy rửa
deteriorate	làm xấu hơn
determinant	quyết định
determinate	xác định
determine	xác định
determined	xác định
determining	xác định
detest	ghét
detestable	đáng ghét
detonable	có thể nổ
detour	tránh
detoxify	giải độc
detract	làm giảm
devastate	phá hủy
develop	phát triển
developed	đã (bị) phát triển
development	sự phát triển
deviant	lệch lạc
deviate	trệch
device	thiết bị
devil	quỷ
devilish	độc ác
devils	những con quỷ
devious	thủ đoạn
devise	nghĩ ra
devoid	không có
devolve	trút
devote	cống hiến
devotion	tận tâm
devour	ngấu nghiến
devoured	đã nuốt chửng
devout	sùng đạo
dew	giọt sương
dewy	đẫm sương
dexter	bên phải
dexterity	khéo léo
diabetes	bệnh tiểu đường
diabetic	người mắc bệnh tiểu đường
diabolic	ma quỷ
diabolically	một cách hiểm ác
diadem	vương miện
diagnosable	có thể chẩn đoán được
diagnose	chẩn đoán
diagnosis	chẩn đoán
diagonal	chéo
diagram	sơ đồ
diagrammatic	bằng biểu đồ
dialogue	cuộc đối thoại
dialysis	thẩm tách
diamagnetic	nghịch từ
diamagnetism	tính nghịch từ
diameter	đường kính
diamond	kim cương
diaper	bỉm
diaphanous	trong suốt
diaphragm	màng ngăn
diary	nhật ký
diathermy	phép điện nhiệt
diathesis	tạng
dice	súc sắc
dictate	ra lệnh
dictating	đưa ra mệnh lệnh
dictatorial	độc tài
diction	cách diễn tả
dictionary	từ điển
dictum	châm ngôn
did	đã làm
die	chết
died	đã chết
diet	chế độ ăn uống
dietary	ăn kiêng
dietetic	ăn kiêng
dietician	chuyên gia dinh dưỡng
differ	khác biệt
different	khác nhau
differential	chênh lệch
differentiate	phân biệt
difficult	khó
difficulty	khó
diffident	nhút nhát
diffuse	khuếch tán
dig	đào
digest	tiêu hóa
digestible	dễ tiêu thụ
digestion	khả năng tiêu hóa
digestions	tiêu hoá
digging	đang đào
dignified	tôn trọng
dignify	phẩm cách
dignitary	người quyền cao
dignity	phẩm cách
digress	lạc đề
dilapidate	làm đổ nát
dilate	Làm giãn
dilatory	chậm chạp
dilemma	thế tiến thoái lưỡng nan
diligent	siêng năng
diluent	sự hòa tan
dilute	pha loãng
dilution	làm loãng
dim	âm u
dimension	kích thước
diminish	giảm bớt
diminished	giảm bớt
diminution	sự giảm
diminutive	nhỏ
dimly	một cách lờ mờ
dimmed	mờ đi
dimple	lúm động tiền
din	kêu vang lên
dine	ăn cơm
dinner	bữa ăn tối
dinnerware	bộ đồ ăn
dinosaur	khủng long
diocese	giáo khu
dip	nhúng
diploma	cử nhân
diplomacy	ngoại giao
diplomat	nhà ngoại giao
diplomatic	ngoại giao
dipole	lưỡng cực
dire	thảm khốc
direct	trực tiếp
directing	chỉ đạo
direction	hướng
directions	hướng
directly	một cách trực tiếp
directness	ngay thẳng
director	Giám đốc
directorate	ban giám đôc
directory	danh bạ
dirt	vết bẩn
dirty	dơ bẩn
disagree	không đồng ý
disappear	biến mất
disappeared	đã biến mất
disappearing	đang biến mất
disappoint	thất vọng
disappointment	thất vọng
disapprove	không tán thành, phản đối
disarm	giải ráp vũ khí
disaster	thảm họa
disburdened	giải phiền, gở phiền
disburse	giải ngân
discard	loại bỏ
discarded	đã bị loại bỏ
discern	phân biệt
discernible	có thể thấy rõ
discharge	xả
discharged	thải
discharging	xả
disciple	môn đồ
disciplinary	kỷ luật
discipline	kỷ luật
disciplining	đang xử lý kỷ luật
disclosed	tiết lộ
discoid	hình đĩa
discolored	đổi màu
discomfit	làm bối rối
discomfited	bối rối
discomfiture	kinh ngạc
disconsolate	ảm đạm
discordant	không hòa hợp
discount	giảm giá
discourage	ngăn cản
discover	khám phá
discovered	đã phát hiện
discovery	khám phá
discreet	kín đáo
discrepant	trái ngược nhau
discrete	riêng biệt
discretion	tùy ý
discretionary	tùy nghi
discriminable	có thể phân biệt được
discriminant	biệt số
discriminate	phân biệt
discuss	thảo luận
discussant	người điều hành thảo luận
discussion	thảo luận
disdain	coi thường
disgruntle	làm cáu kỉnh
disguise	cải trang
disgust	sự kinh tởm
dish	món ăn
dishes	món ăn
dishevel	làm xõa ra
dishonor	sỉ nhục
dishwasher	máy rửa bát
dismal	phiền muộn
dismay	sự mất tinh thần
dismiss	miễn nhiệm, sa thải
dismissal	sa thải
disorder	rối loạn
disparage	xem thường
disparate	tạp nham
dispel	xua tan
dispensable	có thể bỏ qua
dispensary	trạm phát thuốc
dispense	pha chế và cho
dispersal	phân tán
disperse	phân tán
dispersible	có thể phân tán được
displaced	đã di dời
display	hiển thị
displeasure	không vừa lòng
disposable	dùng một lần
disposal	sự bỏ đi, thải đi
dispose	xử lý
disputant	người tranh luận
dispute	tranh chấp
disqualify	truất quyền
disquietude	cảm giác bất an
disquisition	tài liệu nghiên cứu công phu
disrupt	phá hỏng
disrupted	đã bị gián đoạn
disruption	ngắt
distance	khoảng cách
distant	xa xôi
distillate	sản phẩm chưng cất
distillery	nhà máy rượu
distinct	dứt khoát
distinguish	phân biệt
distort	bóp méo
distortion	sự bóp méo
distract	làm xao nhãng, đánh lạc hướng
distraught	quẫn trí
distribute	phân phối
distributed	đã phân phối
distribution	phân phối
distributor	nhà phân phối
district	khu vực
disturb	quấy rầy
disturbance	rối loạn
ditch	máng
dither	lay động
ditto	như trên
ditty	bài hát ngắn
diurnal	ban ngày
dive	lao xuống
diverge	khác
divergent	rẽ
divers	những thợ lặn
diverse	đa dạng
diversify	đa dạng hóa
diversion	chệnh hướng
divest	tước bỏ
divide	chia
dividend	cổ tức
divides	chia
divination	lời tiên đoán
divine	thiêng liêng
divined	thiêng liêng
divisible	có thể chia được
division	phân chia
divorce	ly hôn
divorcee	người ly dị
divulge	tiết lộ
dizzy	choáng váng
do	làm
docilely	một cách ngoan ngoãn
dock	cảng
doctor	bác sĩ
doctoral	tiến sỹ
doctorate	học vị tiến sỹ
doctrinaire	giáo điều
doctrinal	học thuyết
doctrine	học thuyết
document	tài liệu
documentary	phim tài liệu
documentation	hồ sơ
dodge	né
dodged	đã né
doe	hươu cái
dog	con chó
dog-breakin'	luyện chó
dog-busters	những tay bắt chó
dog-doctor	bác sĩ chó 
dog-driver	người lái xe chó
dog-food	thức ăn chó
dogma	giáo lý
dogmatic	độc đoán
dogmatism	chủ nghĩa giáo điều
dogs	những con chó
dogs'	của những con chó 
dog-teams	những đội chó
dogtrot	nước kiệu nhẹ nháng
doing	đang làm
dolce	êm ái
doldrum	buồn chán
doll	búp bê
dollars	đô la
dollop	miếng to
dolphin	cá voi
dolt	người đần độn
domain	tên miền
dome	mái vòm
domestic	trong nước, nội địa
domesticated	đã (được) thuần hóa
domicile	nơi ở
dominant	ưu thế, trội, loài mạnh
dominate	thống trị
dominion	sự ảnh hưởng
donate	tài trợ
done	đã thực hiện
donkey	con lừa
donor	người hiến
don't	không làm
doom	diệt vong, tận thế
door	cửa
doors	những cái cửa
dormant	ngủ đông
dormitory	ký túc xá
dosage	liều
dose	liều (thuốc)
dossier	hồ sơ
dot	dấu chấm
dote	mê mẩn
double	đôi
doubled	đã tăng gấp đôi
doubling	tăng gấp đôi
doubt	nghi ngờ
dough	bột nhào
dove	chim bồ câu
dowager	người thừa kế tước hiệu của chồng
down	xuống
down-coming	xuống tới
downhill	xuống dốc
downplay	coi nhẹ
downpour	mưa rào
downslope	dốc xuống
downstairs	trên tầng
downstream	xuôi dòng
down-stream	hạ lưu
downtown	ở thành phố
downward	hướng xuống
dowry	tài năng
doze	ngủ gà ngủ gật
dozen	hàng chục
dozing	ngủ gật
drab	sa sút
draft	dự thảo
drag	kéo
dragged	đã (bị) kéo
dragging	đang kéo
draggled	đã kéo lết phết
dragon	con rồng
dragonfly	chuồn chuồn
drain	mương, rãnh
drainage	hệ thống thoát nước
drake	vịt đực
drama	vở kịch cho sân khấu
dramatic	kịch tính
dramatization	viết thành kịch
drank	đã uống
drape	rèm
draped	đã phủ lên
drapery	vải vóc
drastic	mạnh mẽ
draught	gió lùa, vận rủi
draw	vẽ
drawer	ngăn kéo
drawing	đang vẽ, kéo ra
drawl	nói lè nhè
drawn	đã rút ra
dread	kinh sợ
dream	giấc mơ
dreamed	mơ ước, ngủ mơ
dreamily	một cách tưởng tượng
dreaming	đang mơ
dreamlike	lung linh
dreams	những giấc mơ
dreamy	mờ mịt
dreary	thê lương
dreg	chút xíu còn lại
drench	làm ướt sũng
dress	váy
drew	đã thu hút, đã vẽ
dribble	rê bóng
dried	khô
drift	trôi dạt
drifted	trôi dạt
drifting	đang trôi
driftwood	gổ trôi dạt
drink	uống
dripping	đang rỉ nước
drive	lái (xe)
driven	đã điều khiển, (được) thúc đẩy
driver	tài xế
drivers	người điều khiển
drives	lái, đẩy
driveways	đường lái xe vào nhà
driving	đang lái xe
droll	khôi hài
drool	nước dãi
drooped	buông
drooping	đang gục xuống
drop	rơi
dropped	đã (bị) giảm, hạ
dropping	thả
drought	hạn hán
drove	đã lái xe
drown	chết đuối
drowned	đã (bị) chết đuối
drowse	làm ngập nước
drudge	làm vất vả
drudgery	công việc vất vả
drum	trống
drumming	trống
drunken	say rượu
dry	khô
dub	lông tiếng
dubious	không đáng tin cậy
dubiously	một cách nghi ngờ
duck	con vịt
duckling	vịt con
ductile	dễ uốn
dud	bỏ đi
due	do, bởi vì, tại
duel	cuộc đấu (kiếm, súng) tay đôi
duet	bản đuyê
duffel	vải len thô
dug	đào
duke	công tước
dulcet	êm ái
dull	ngu đần
dully	đều đều
dumb	câm
dumbbell	quả tạ
dummy	giả
dump	đổ (rác)
dumped	bán phá giá, đổ bỏ
dumpling	bánh bao
dune	cồn cát
duplicate	nhân đôi
duplicated	đã nhân đôi
durable	bền
during	đang trong khi
dusk	hoàng hôn
dust	bụi
dustbin	thùng rác
dusty	bụi
duties	những nhiệm vụ
dutiful	biết vâng lời
duty	nhiệm vụ
dwarf	lùn
dwelling	ở
dwindle	thu nhỏ lại
dwindled	cạn dần
dyadic	nhị nguyên
dye	thuốc nhuộm
dying	đang chết
dynasty	triều đại
dysentery	bệnh lỵ
dyspeptic	khó tiêu
each	mỗi
eager	háo hức
eager-eyed	mắt háo hức
eagerly	một cách háo hức
eagerness	sự háo hức
eagle	chim ưng
