above    以上、上面、上述
abreast	并肩、时髦的、及时了解
doctor	医生、大夫、行医
dodge	闪避、躲避、避讳
dodged	躲过、躲闪
dog	狗、跟踪
dog-busters	狗的主力部队
dog-doctor	狗的医生
dog-driver	狗的驱动程序
dog-food	狗的食物
dogged	誓不罢休
dogs	狗
dogs'	犬
dog-teams	狗队
doing	干、活动
dollar	美元
dollars	美元
domesticated	家、驯化
dominant	优势、主导、统治
dominion	主权、领土、领地
done	完成、做过
don't	别、禁忌
doom	厄运、死命、注定
door	门、户
doors	门
dose	剂量、服用量、服药
dot	点、嫁妆、加小点于
doubled	一倍、翻番
doubling	加倍、翻一番
doubt	怀疑、疑问
down	下、击落、绒毛
down-coming	下未来
downhill	下坡、向下
down-stream	下游
downward	向下、向下的
dozen	打、十二
dozing	打瞌睡、推土作业
drag	拖动、拖累、揪
dragged	拖、拖累
dragging	拖延、拖延的
bedraggled	全身湿透
drainage	引流、排水渠
drank	喝了、喝下
draped	搭着、披着
draught	草案、草拟
draw	画、绘画、平局
drawing	绘画、图纸、图样
drawn	画、拔出的
dream	梦想、梦幻、梦见
dreamed	梦想、梦到
dreamily	朦胧地、梦幻般地
dreaming	做梦、梦想着
dreams	梦想
dreary	沉闷的、凄凉
drew	提请、吸引
dried	干燥、干的
drift	漂移、漂流、浮动
drifted	漂流、飘然
drifting	漂流、流
driftwood	浮木、漂流木
drink	喝、醉、饮料
dripping	滴水、淋漓
drive	驱动、驾驶、驾车
driven	驱动、受到驱策的
driver	司机、螺丝刀、开车人
drivers	驱动程序、司机
drives	驱动器、磁碟机
driveways	车道、行车道
driving	主动、赶、操纵
drooped	下垂、耷拉下来
drooping	下垂、低垂
drop	下降、滴
dropped	下降、丢弃
dropping	落下、滴下
drove	开车、畜群、噳
drowned	淹死的、没
drumming	鼓声、鸣
dry	干、旱田、槁
dub	配音、鼓声
dubiously	怀疑地、半信半疑
dug	挖
dull	平淡、枯燥、钝
dumped	倾倒、转储
duplicated	复制、重复
during	中、在 ... 期间
dust	灰尘、尘埃、掸
duties	职责、义务
duty	责任、关税
dwelling	住宅、居所、寓所
dwindled	萎缩、缩减
dying	垂死、不行了
dynasty	王朝、朝代
each	每、各自、皆
eager	急于、踊跃、殷
eager-eyed	渴望的眼睛
eagerly	眼巴巴、踊跃、如饥似渴
eagerness	热心、兴
ear	耳、棒子、抽穗
earlier	早期
early	早、先
earned	赚
earnest	认真、恳切、惓
ears	耳朵
earth	土、泥土、培土
ease	缓解、减轻、悠闲
easier	更容易
easily	容易、顺手、松快
east	东方
easy	容易、轻而易举
eat	吃、喝汤、啗
eatable	食用
eaten	吃了
eater	吃的人、侵蚀物
eating	吃、食物、腐蚀性的
ebb	落潮、衰退
ebbed	消退、退至
economy	经济、撙节
ecstasy	狂喜、发迷
eddies	漩涡、涡旋
eddy	涡流、涡水
edge	边缘、锋、镶
eerie	怪异、诡、怪诞的
effectually	有效地
effort	功夫、成就、气力
efforts	努力、力度
egotistical	自负、自私的
eh	啊
eight	八、捌
eighteen	十八
either	或、二者之一、任一
elbows	手肘、肘部
electric	电动、电气
elimination	消除、肃清、排斥
eloquent	雄辩、佞
eloquently	雄辩、雄辩滔滔
else	其他、否则、别地
embrace	拥抱、怀抱
embracing	拥抱、相拥
emptied	清空、掏空
emptiness	空虚
enable	使、使 ... 能够
enabled	启用、使能
encountered	遇到、中遇到
encourage	鼓励、提倡、打气
encouraged	鼓励、鼓舞
encouragement	鼓励、靠山
encouraging	鼓励、奖励的
end	结束、末尾
ended	截至、截止
ending	结束、终端
endless	无穷、漫长、广大无边
ends	结束、两端
endured	忍着、忍受
enemy	敌人、寇仇
enemy's	敌人的
enforce	执行、强制
enforcing	执行、强制
english	英语
enormous	巨大、庞大、硕大无朋
enormousness	enormousness
enough	足够、充足、彀
enter	进入、输入
entered	进入、订立
enthusiastically	踊跃、热情地
enticed	诱惑、引诱
entreated	恳求、凌辱
enveloped	笼罩、包膜
enveloping	包络、包绕
environment	环境、周围
equal	等于、相等、匹敌
equally	一样、相等
equilibrium	平衡、平静
ere	ERE
erect	竖立、直立的
errands	跑腿、差事
error	错误、偏差
escape	逃生、溜走
escaped	逃脱、躲过
escorted	护送、护航
especial	尤其是、特别是
especially	尤其、特别、异常
essential	必要、要点
estimation	预算、意见
eternal	永恒、永存
eternity	永恒、永远
even	甚至、偶数、相等
evening	黄昏、晚间、残照
events	事件、赛事
ever	曾经、尝、多会儿
every	所有的、凡是
everybody	每个人、诸
everything	一切、万事
everywhere	到处、随地、广泛地
evidenced	证明、证实
evident	明显、昭著、彰
evil	邪恶、坏事
evil-looking	邪恶的前瞻性
evil-tempered	邪恶的脾气
evinced	明证
examined	检查、审查
examining	检查、研究
excelled	出色、擅长
excellent	优秀、卓越、高超
except	除、除了 ... 之外、反对
exception	例外、反驳、不赞同
excess	多余的、过量、过度
excessive	过多、赘
exchanged	交换、兑换
excited	兴奋、对 ... 感到兴奋
excitedly	勃然、踊跃
excitement	激动、起浪
exclaim	喊叫、呵
exclamations	感叹词、惊叹
excrescence	赘生物
exertion	用力、发挥、紧张
exhausted	筋疲力尽、枯竭、阑
exhausting	辛苦、累人的
exist	存在、是
existence	存在、生存
expectant	准、待产
expected	预期、有望
expecting	期待、有喜
expediency	便利、合理性
experience	经验、经受
experienced	有经验、熟习
experiment	实验、试验
exploit	利用、伟业
express	特快、表示
expressed	表达、表现
expressing	表达、表示
expression	表达、神情、劲
exquisite	玲珑、绝妙、精美的人
external	外部、外面
extinct	灭绝的、过世的、已灭
extracted	提取、摘录
extreme	极端、偏激
extremity	端、末端
exultantly	眉飞色舞、得意扬扬
eye	眼、细看
eyes	眼睛
fabled	传说中的、寓言中的
face	面对、面孔
faced	面临、面临
facing	面对、外面、覆盖层
fact	事实、景况
facts	事实、真情
fading	衰退、衰老
fail	失败、辜负
failed	失败、故障
failing	错误、因为缺乏、缺少的
fails	失败、未能
faint	昏、微弱、晕倒
fainter	昏暗的
faintest	微弱、最暗
faintly	依稀、恍惚、朦胧地
fair	公平、博览会
fairly	相当、比较
faith	信仰、信用
faithful	忠实、忠诚
faithfully	忠实、忠诚地
faithfulness	忠诚、忠心
fall	下降、秋季
fallen	下降、倒下
falling	落下、落的
fame	名誉、声誉、使 ... 驰名
familiar	熟悉、挚友
familiarity	熟悉、放肆的言行
family	家庭、家族、僚属
famine	饥荒、饥馑
famished	惄、馁
fang	方、方舟子
fanged	毒牙、獠牙
fangs	獠牙、毒牙
fanned	煽动、散开
far	远、遥
fare	票价、旅行
fared	表现、混得
farther	更远、以后
farthest	最远
fashion	时尚、塑造
fashions	时尚、流行款式
fast	快、绝食
fastened	固定、紧固
faster	快
fastidiousness	一丝不苟、精致
fat	脂肪、肥、膏
fatal	致命、必然的
fateful	致命的、灾难性
father	父亲、发明
fathered	父亲
fathers	父亲
fatigue	疲劳、使 ... 疲劳
fault	故障、指责
favor	青睐、促成
favored	青睐、受到偏爱的
favorite	最喜爱、爱好
favors	人情、恩惠
fawned	讨好、吹捧
fear	恐惧、忧心
feared	担心、害怕
fearful	可怕、吓人的
fearfully	可畏、可怕地
fearlessly	无畏无惧、毫不畏惧地
feasted	赴宴、宴请
feat	功绩、武术、手巧的
feathered	有羽毛
feathers	羽毛
feature	特点、放映
fed	喂、饲喂
feebly	有气无力、无力地
feel	感觉、触摸
feeling	感觉、富于同情心的
feelings	情怀、醑
feet	脚、尺
feets	千丈、方呎
feex	feex
feigned	假装、佯装了
fell	下跌、兽皮、残酷
fellow	同伴、朋友
fellows	研究员、侪
fellowship	奖学金、合伙
felt	毡、触
ferine	ferine
ferocious	凶猛、厉害
ferocity	恶、肆虐
ferry	渡船、摆渡
fervently	热情地、踊跃
fetching	取、妩媚
fever	发烧、烧
feverish	发烧的、激昂的
fever-pitch	发烧间距
few	少数、稀少、廖
fibre	纤维、构造
field	领域、野外
fiend	恶魔、凶手
fierce	激烈、凶暴
fiercely	激烈、凶暴地
fierceness	凶猛、猛烈
fiercer	激烈
fiercest	激烈的
fifteen	十五
fifty	五十
fifty-mile	五十英里
fiftypound	五十磅
fifty-pound	五十磅
fight	打、站
fighter	战斗机、歼击机
fighters	战士、战机
fighting	战斗、战事
fights	打架、战斗
figure	弄清楚、图形
file	文件、归档
filing	备案、存档
fill	填、弥漫
filled	满、盈满
fills	填充、罢了
final	最终、结局
finally	最后、卒
find	发现、搜寻
finding	寻找、发现物
fine	精、罚款
finely	细、细微
fingers	手指、指头
finish	完、终点
finished	妥、得
finishing	结束、精加工
fire	火、解雇
fires	火灾、大火
fire-scorched	火烧焦
firewood	柴、劈柴、荛
first	第一、首次、开始
fish	鱼、钓鱼
fished	捕捞、钓鱼
fishing	钓鱼、打捞
fish-sacks	鱼麻袋
fissures	裂隙
fit	适合、健康
fits	适合、配合
five	五
fivescore	fivescore
fix	固定、奠定
fixed	固定、既定
flag	旗、鸢尾花
flagged	标记、标示
flame	火焰、焚烧
flames	火焰、焱
flaming	熊熊、炽烈
flank	侧翼、腹部
flanks	侧翼、侧面
flap	拍打、扇
flapped	拍打、襟翼
flash	闪光、闪现
flashed	闪现、亮出
flashing	闪烁、闪动
flat	平、平面
flattened	扁平,压扁
flecked	斑点
fled	逃离,出逃
flee	逃跑,逋
fleeing	逃离,出逃
fleeting	稍纵即逝,流
flesh	肉,瓤,肌肉
flew	立马,飞到
flickered	闪烁,摇曳
flies	苍蝇,飞行
flight	飞行,溃逃
fling	一扔,甩
flint-lock	燧发枪
flirted	调情,挥动
flitted	掠过,普照
flitting	飞来飞去,飞舞
flood	洪水,泛滥,淹没
floor	地板,铺砌,最低的
flounder	比目鱼,辗转
floundered	乱作一团,挣扎
flour	面粉,白面
flower	花,盛开
flowers	花卉
flowing	流动,湝,丰满
flows	流,流入
flung	甩到,猛地
flush	红晕,旺盛,紧紧地,丰足的
fluttered	飘扬,迎风
flying	飞行,急速的
foaming	发泡,泡沫
foe	敌人,冤家
folds	褶皱,折痕
follow	遵循,跟随
followed	其次,遵循
following	以下,跟随
folly	蠢事,胡说八道
food	食物,营养品
fool	傻瓜,糊弄,愚蠢
fooled	上当,蒙蔽
fools	傻瓜,愚人
foot	脚,步行
foot-gear	鞋袜
footing	的基础,关系
footsore	脚痛,磨破
footsteps	步伐,步子
for	为,替,因为
forbear	隐忍,避免
forbiddingly	令人生畏
forbore	克制
force	强制,力量
forced	强
fore	前面,前部
forebears	祖先,先辈
forecast	预测,预兆
forego	放弃,在 ... 前
foremost	第一,前进的,向前
forest	森林,丛林
forevalued	forevalued
forever	永远,永久性
forewent	forewent
forged	伪造的,锻造
forgetfulness	健忘,忘记
forgot	忘记
forgotten	遗忘,被遗忘
forlorn	惆,悲凉
form	形式,构成
formed	形成,成立
former	前,前者
formidable	强大,可怕
forming	成型,形成的
forms	形式,表单
forth	向前,往外
fortune	运气,时运
fortunes	命运,国运
forty	四十
forty-mile	四十英里
forward	前锋,向前,促进,先头的
fought	战斗,转战
foul	犯规,肮脏,弄脏,不诚实地
found	铸造,勘查
fountain	喷泉,喷水池
fountains	喷泉,饮水机
four	四
fourteen	十四
fourth	第四
fox	狐狸,狐
frame	框架,构成
frankly	坦率地说,爽朗
frantically	疯狂,狂热
fraught	误人子弟,充满
free	免费,豁免,无偿地
freezing	冷冻
freight	货物,装满,货物的
freighted	被装载
french-canadian	法国和加拿大
frenzy	发狂,狂妄
frequently	频繁,时常
fresh	新鲜,使清新
fresher	清新,新鲜的
fresh-written	新鲜的书面
friction	摩擦
friendliness	友好,和蔼
friendly	友好,友善
friends	朋友,俦
friendship	友谊,交谊
frighten	吓唬,使骇怕
frightened	悚,竦惧
frightful	可怕,滔天
frightfully	感到可怕,心里好不
fringed	流苏,摇曳
from	从,离
front	前,对付
frost	霜,结霜
frosty	冷冰冰,霜白
frothing	起泡,泡沫
frowning	皱着眉头,眉头紧锁
froze	愣,僵住
frozen	冻结,冱
frustrated	沮丧,惘
full	满,饱满
full-grown	完全成熟,生长完全
fully	十分,截然
fund	基金,投资
fundamental	根本,基调
fungus-covered	木耳覆盖
fur	毛皮,以毛皮制作
furiously	奋力,怒冲冲
furnished	装饰,布置
furred	毛皮,毛茸茸
furry	毛茸茸
further	进一步,促进,更远的
fury	愤怒,暴怒
fuss	瞎忙,小题大作
futile	无用,赘瘤
futilely	徒劳
future	未来,前程,未来的
gain	获得,收益
gained	获得,上涨
gaining	获得,取得
galvanized	镀锌,电镀
gamblers	赌徒,赌客
gambling	赌博,牌局
game	游戏,赌钱,有胆量的
gamekeepers	猎场看守人,劲卒过河
games	游戏,比赛
gaping	目瞪口呆,张着嘴
garbs	garbs
gardener's	园丁,花匠
garments	服装,成衣
gas	气体,瓦斯
gashing	gashing
gasp	喘气,喘息
gasped	喘着气, 倒吸一口冷气
gasping	喘气,喘息
gathered	聚集,搜集
gaunt	憔悴的,累累
gave	给,给予
gayety	喜尚,笑料
gaze	凝视,目光
gee-pole	哎呀极
general	一般,将领
generation	代,一代
generations	代,几代
generous	大方,够意思,雍容大度
generously	慷慨,丰盛地
genial	和蔼的,暖
gentlemen	嘉宾,先生们
gentlenesses	温柔
gentler	温和的
genuine	真正,真诚
geological	地质,地理
get	得到,搜罗
getting	越来越,获得
ghost	鬼,幽魂
ghostly	幽灵的,朦胧的
giant	巨人,帧太长
giants	巨人,巨头们
gigantic	巨大,灏
gingerly	小心翼翼,战战兢兢
give	给,赐给,适应性
given	特定,赠予的,设
giving	给,礼物
glaciers	冰川,冰河
glad	高兴,欣
gladdened	欢喜,充满欣喜
gladness	欢喜,乐意
glamour	魅力,迷人的美
glance	浏览,一瞥
glanced	瞥了一眼,看了一眼
glazed	釉面,像玻璃的
gleaming	闪闪发光的,熠熠
gleefully	兴高采烈地,愉快地
gliding	滑翔,滑音
glimmering	若隐若现,微光
glimpses	瞥见,隐约可见
glitter	闪光,发光
gloomy	阴沉,忧郁
glorious	辉煌,锦绣
gloriously	光荣,荣耀地
gloss	掩饰,光彩
glowed	闪耀,发光
gnats	蚊蚋,飞虫
go	去,前往
goaded	唆使,刺激
god	上帝,菩萨
goes	去,进入
going	去,离去
gold	金,金制的
goldseekers	goldseekers
gone	走了,离去的
good	好,益处
good-natured	和善,和蔼可亲
good-naturedly	苦口婆心地,善意地
goods	货,物品
goose	鹅,嘘骂
gorge	峡谷,狼吞虎咽
got	得到,拿到
government	政府,内阁
grade	级,等差
grades	牌号,等级
grandsons	孙子,孙儿
grape	葡萄,葡萄弹
grappled	扭打,搏斗
grappling	拼杀,揪打
grasp	把握,意识
grass	草,荛
grasses	草,禾草
gratifying	喜人,顗
grating	光栅,摩擦声的
gravel	碎石,铺碎石
gravelled	砾石
gravely	严重,严肃
gray	灰色,灰白
great	大,宏大
greater	更大的,优越
greatly	非常,老大
greatness	广大,謷
green	绿色,绿色的,变成绿
greeting	欢迎,迎接
grew	增长,成长
grief	悲,悲感
grievance	不平,牢骚
grievously	悲伤,沉痛
grimly	严肃地,狞笑
grin	露齿而笑,微笑
grinned	咧嘴笑,露齿而笑
grinning	笑嘻嘻,狞笑
grip	握,把手
gripped	心惊肉跳,抓住
grit	砂砾,覆以砂砾
grittily	grittily
groaned	呻吟着
grooms	新郎,培训
grooves	凹槽,沟槽
grope	摸索,摸
groping	摸索,咸猪手
ground	地面,打基础,地面上的
grow	增长,栽培
growers'	种植者,栽培者
growing	成长,发展
growl	嗥叫,吠声
growled	咆哮,吼着
growling	咆哮,咕咕叫
growls	咆哮,低吼
grown	成长,长大的
grows	增长,生长
growth	发展,发达
grub	蛴螬,挖掘
grub-box	蛴螬盒
grub-staked	蛴螬放样
gruffly	粗声粗气,生硬地
grumbled	委屈地,抱怨道
grumbling	牢骚,嘵
grunted	哼了一声,咕哝着
grunting	叫声,呼噜
guard	卫,看守
guarded	守卫,把守
guardianship	监护,保护
guards	卫士,警卫
guided	导游,可控制的
guiding	主导,指导
guilty	有罪,内疚
gulped	一饮而尽,吞咽了一下
gun	枪,火炮
gust	阵风,鉴赏力
habits	习惯
had	有,拥有
hailed	欢呼,被誉为
hair	头发,毫
hairless	无毛,濯濯
hairy	毛茸茸,长毛的
half	一半,半截
half-breed	混血儿
half-coy	半忸怩作态
half-dozen	六
half-friendly	不友好
half-frozen	半冻
half-grown	未成长
half-reluctantly	勉强
half-savage	半数的野蛮
half-sobs	半个呜咽
half-started	未开始
half-stunned	半目瞪口呆
halfway	半路
half-wolves	半狼
halt	停止,止住
halted	暂停,中止
hammered	敲定,重创
hand	手,递交
handful	少数,满手
handicap	阻碍,困难
handkerchief	手帕,帕
hands	手
hang	挂,裱
hanging	挂,悬料
hankering	渴望,热衷
happened	发生
happening	事件,故
happiness	幸福,和蔼
hard	硬,严格
hardened	硬化,淬硬
harder	更难,越难
hardest	最难的,最坚硬的
hardly	几乎不,难以
hard-packed	硬包装
harked	联想起
harking	联想起
harm	伤害,坏处
harness	马具,套
harnessed	驾驭,利用
harnesses	线束,吊带
harnessing	治理,整治
harness-up	线束,马具
harrying	饶过
harsh	苛刻,刻薄
has	有,具有
haste	赶快,迮
hastened	赶紧,连忙
hatchet	斧头,短柄斧
hated	恨,短柄斧
hatred	仇,恚恨
hats	帽子,礼帽
hauled	拖拉,拽出
hauling	牵引,拖运
haunches	臀部,腰腿
haunted	闹鬼,鬼屋
have	有,含有
having	有,菲薄的
haw	山楂,唉!
he	他,男人
head	头,率领
headed	为首,率领
heading	标题,名称
heads	头,元首
head-waters	源头
healed	愈合,痊愈
health	健康,身体
heaped	堆,挤
hear	听,得悉
heard	听说,听到
hearing	听力
heart	心脏,内心
heartbreaking	悒,忧愁
heart-easy	和易
hearts	心中,心灵
heat	热,热力
heaven	天堂,苍天
heavier	更重,加重
heavily	严重,大量
heavy	重,沉重
hedged	对冲
heed	注意,留意
heels	脚跟,鞋跟
heem	谦
height	高度,身高
held	保持,召开
hell	地狱,见鬼
hells	地狱
hell's	地狱的
help	帮助,帮忙
helped	帮助,协助
helper	帮手,佣工
helpers	佣工,家务助理
helping	帮助的,有助于
helpless	无助,无奈
helplessly	无奈的,眼巴巴
helplessness	无奈,无助感
her	她的
heralded	预示,宣告
herd	群,追风
here	这里,此间
heredity	遗传
heroic	英勇,英雄
herself	她自己
he's	他的
hesitate	迟疑,犹豫
hey	哎,嘿
hi	你好
hid	躲在
hidden	隐蔽,潜在
hide	隐藏,隐瞒
hides	皮张,兽皮
hiding	藏,藏匿
hiding-place	藏身处,掩藏地方
high	高
higher	更高
highly	高度,高效
high-strung	高度紧张,酥脆
high-walled	高壁
hike	远足,徒步
hill	山,小丘
him	他
himself	他自己
hind	后
hinder	阻碍,妨碍
hint	暗示,提示
hip	臀部
hips	臀部,臀围
his	他的
history	历史
hitch	拴住,顺利
hitching	顺风车,搭上
hitting	击球,触及
ho	浩,镐
hoarse	嘶哑,苍老
hoisted	悬挂,升起
hold	持有,握住
holding	保持,持球
holds	持有,保持
hole	孔,窿
holes	孔,洞
home	家,乡土
homesick	想家
honestly	老老实实,实在
honked	按喇叭,拽住
honored	荣幸,有头有脸儿
hoofs	马蹄声,蹄子
hope	希望,祈望
hoped	希望,期望
hopeless	绝望,不可救药
horns	角,觡
horrible	可怕,吓人的
horribly	可怕
horror	恐怖,恐惧
horse	马,系马于
horse-hide	马皮
horses	马匹
hostile	敌对的,怀敌意的
hot	热,辛辣
hotel	旅馆,饭店
hour	小时,钟头
hours	小时
house	房子,家务,驻扎
house-dog	家犬
housemaids	女佣,女仆
how	如何,何以
however	但,不过,多么
howl	嗥,吼叫
howled	怒吼,嚎叫
howling	嚎叫,瑟瑟
huge	巨大,硕大无朋
hum	哼,哼声
humans	人类,人体
humor	幽默,迎合
hundred	百
hundreds	数百
hundredweight	担
hung	挂
hunger	饥饿,渴望
hunger-madness	饥饿和疯狂
hungry	饿,馁
hunted	猎杀,追杀
hunter	猎人,迹人
hunters	猎人们
hunting	狩猎,猎狐
hunting-knife	猎刀
hunts	狩猎,捕杀
hurled	投掷,忿忿
hurling	投掷,辗转
hurricane	飓风,暴风骤雨
hurried	慌忙,造次
hurriedly	匆匆,仓促
hurry	赶快,匆忙
hurt	坏处,击伤,憖
hurting	伤害,坏心肠的
husband	丈夫,撙节
husband's	丈夫的
huskies	哈士奇,爱斯基摩犬
husky	沙哑,粗
hydrophoby	疏水性
hysteria	歇斯底里
i	我
ice	冰,冰镇
idea	想法,意念
ideal	理想,完美
idle	闲置,空费
idols	偶像
if	如果,假如
ignominiously	可耻,不光彩
ignored	忽视
ill	生病,坏
i'll	我将
ill-tamed	虐待被驯服
illumined	照亮,照耀
i'm	我是
imagination	想像力,假想
imagined	想象
immediate	即时,立刻
immediately	立即,即刻
impact	碰撞,对 ... 发生影响
impartial	公正,不偏不倚
impatience	不耐烦,性急
impeachment	弹劾
impede	阻碍,阻止
impelled	推动,迫使
impending	即将
imperative	迫切,急迫
imperiously	专横,傲慢
imploringly	哀求,恳求地
important	重要,要紧
importuned	强求,纠缠
impossible	不可能,叵
impress	印,铭刻
imprisoned	监禁,在押
impulse	冲动,鼓励者
impulses	冲动,脉冲
in	在,在 ... 之内
inability	无力,无能
inarticulate	口齿不清,难以言喻
incarnate	体现
incarnation	化身,赋与肉体
inch	寸,英寸
inchan	inchan
inches	英寸,寸
incident	事件,附带的
incidentally	顺便,附随地
inclined	倾向,歪
included	包括,列入
including	包括,连
incoherent	颠三倒四,支离
incompetence	无能,不称职
incomprehensible	费解的,不知所云
inconceivably	不可思议,难以想像的
increase	提高,增强
increased	增加,上升
incurious	漠不关心
indeed	的确,果真
indefinite	不定,不明确
indeterminate	不定,无限期
indian	印度人
indians	印度人
indigestible	不消化
indiscreet	轻率,指手画脚
indiscretion	轻率,失言
indispensable	不可缺少,必需
inevitable	必然,不可避免
inevitably	必将,难免
inexorable	残酷,残暴
infinitely	无限,无穷
infinitesimal	无穷小,蝇头
inflammation	炎,燃烧
influence	影响,感染
infrequent	罕见,异样
inherited	遗传,继承
injured	负伤,翛翛
inkling	暗示,端倪
innocuously	无害
innutritious	innutritious
inoffensive	与世无争,无害
insensible	没有知觉,昏迷的
inseparable	形影不离,不可分离
inside	里面,内部
insides	内部,内侧
insidious	阴险,隐密
insist	咬定,坚持
insisted	坚持,坚称
instance	例,比方
instances	实例,情况下
instant	瞬间,即刻
instantaneous	瞬间,立
instead	代替,反而
instinct	本能,直觉
instinctively	本能,凭直觉
instincts	本能
instruction	指令,教导
insubordination	犯上,违抗命令
insular	狭隘,封闭
intelligence	情报,合理
intended	意,义务
intense	激烈,激越
intensely	强烈,厉害地
intent	意图,集中的
intention	意向,用意
intentions	意向,意向
intentness	的专心
interest	兴趣,关心
interested	有兴趣,感兴趣的
interfere	干扰,进犯
interfered	干扰,干涉
interlacing	隔行扫描,交错
internal	内部,国内
interrupt	打断,插嘴
interval	间隔,幕间休息
intervals	间隔
intimacy	亲密,亲切感
intimate	亲密,暗示,挚友
intimated	暗示,恐吓
into	进入,直到
intolerable	无法忍受,要不得
introduction	介绍,导言
introspective	内省,恍若隔世
invaded	入侵,侵略
invaders	侵略者
invested	投资
investigate	调查,追查
invitations	邀请,请柬
involuntarily	不由自主,无心地
inward	向内
irish	爱尔兰的
iron	铁,熅,坚毅的
irresistible	不可抗拒的,压倒性
irresolutely	犹豫不决
irritability	易怒,过敏性
irritable	急躁,坏心眼的
irritating	刺激性,恼人
is	是,为
island	岛,洲
issued	发行,颁布
it	它,其
it'll	它会,它将
its	其,它的
it's	这是
itself	本身,它本身
i've	我已经
jaded	厌倦的,疲惫的
jagged	锯齿状的,钩状的
jam	果酱,拥
jangling	刺耳的,不绝于耳
japanese	日本,倭
jarring	不和谐,辗轧
jaw	颚,颌
jaws	爪,颔
jealousy	妒忌,酸溜溜
jerk	挺举,性情古怪的人
jerked	猛地,挺举
jerks	抽搐,混蛋
jingling	玎,叮当作响
jingo	金革,极端爱国义
job	工作,承包
join	加入,联结
joined	加盟,合流的
joint	联合,接合,协同
jolted	颠簸,震动
journey	旅程,游历
journeyers	journeyers
joy	喜悦,欢喜
joyful	快乐,畅
joyfully	欣然,愉快地
jubilant	喜气洋洋,欢呼的
judge	法官,评判
judge's	法官
judgment	判断,意思
jugular	颈静脉,颈部的
juices	果汁,汁液
jump	跳,趯
just	只是,公正
justice	正义,欣赏
jutted	jutted
keel	龙骨,镇
keen	敏锐,尖利
keenest	最敏锐的
keenly	敏锐,踊跃
keep	保持,养活
keeping	保持,保管的
kennel-dog	犬舍的狗
kennels	狗窝
kept	保持
key	关键,锁上,基本的
keyed	键入,键控
kick	踢,踹
kidnapped	绑架
kidnapper	绑匪,拐子
kill	杀,残害
killed	被杀,断开的
killer	凶手,杀人犯
killing	谋杀,诛戮
kin	亲属,性质类似
kind	样,亲切
kind-hearted	善良,和蔼
kindliness	和蔼,恳挚
kindly	和蔼,仁慈
kindred	亲属,类似的
kinds	种,各种
king	王,国王
kittens	小猫,幼猫
knee	膝盖,膝
knees	膝盖,双膝
knelt	跪
knew	知道,认识
knife	刀,铡
knitted	针织的,编结的
knock	敲,打击
knocked	敲,撞倒
knocking	敲,敲开
knotting	打结
knotty	棘手,伤脑筋
know	知道,知悉
knowledge	知识,学问
known	众所周知,大家都知道的
knuckled	失蹄,屈服
knuckles	关节,指节
lacerated	褛,撕裂
lack	缺乏,差
laid	奠定,打下
lak	lak
lake	湖,泽
lakes	湖泊
land	土地,降落
landed	登陆,降落
landing	着陆,起货
lap	膝部,扑击
lapping	研磨,研磨
lapsed	失效,过去的
large	大,丰厚
largeness	广大,一颗宽大
larger	大,更大
largest	最大
lash	鞭挞,鞭打
lashing	绑扎,鞭挞
lashings	圈套,鞭打
last	最后,持续,剩余
late	晚,晚点
latent	潜,暗
later	后,以后,他日
latest	最新,新东西
laugh	笑,嗤笑
laughed	笑
laughing	笑,好玩的
launched	推出,发起
law	法,法则
lawgiver	立法者
lawns	草坪
lay	铺设,谎言,世俗的
lays	规定,奠定
lazily	懒洋洋地
lazy	懒,怠惰
lead	领导,领先
lead-dog	铅狗
leaden	铅制,铅灰色
leader	领导者,首领
leaders	领袖,领导
leadership	领导,督率
leading	领导,优势
leaf	叶,翻 ... 的页
lean	瘦,屈身
leap	飞跃,跳跃
leaped	跃升,跃居
leaping	高高跃起
leapings	leapings
learn	学习,记住
learned	知道,殚见洽闻
learning	学习,博学
leashed	受到约束,带牵引
least	最少
leather	皮革,抽打
leathery	似皮革的,似皮的
leave	离开,假期
leaves	叶,花瓣
leaving	离开,留下
led	领导
ledge	窗台,凸缘
leeward	背风,下风
left	离开,左边
leg	腿,路程
legion	军团,众多
legs	腿
lend	借,提供
less	少,较少
lesser	较小
lesson	教训,课时
lessoned	训诫
let	让,听任
letter	信,函件
letters	字母,书简
letting	让
level	水平,程度
levels	水平,级别
library	文库,藏书,图书馆
lick	舔,餂
licked	舔
licking	舔
lie	说谎,位于
life	生活,生机
life-and-death	生命和死亡
lifeless	死气沉沉,苍白
life's	生命的
lifetime	一生,毕生
lift	电梯,举起
lifted	解除,抬起
lifting	起重,昂
light	光,轻微,点燃
lightened	减轻,照亮
lighter	打火机,驳船
lighting	采光,明暗分布
lightish-colored	lightish-colored
lightly	轻轻,翩翩
lightning-like	闪电状
lights	灯火,浅色衣物
like	喜欢,相似,类
likely	容易,合适的
likewise	同样,憖
limb	肢,患肢
limitless	无限,漫天
limp	跛行,瘫软
limped	一拐一拐的
limping	一瘸一拐,跛行
limply	松弛的,软绵绵地
line	线,衲
linger	盘桓,萦绕
lingered	徘徊,逗留
lingering	缠绵,逗遛
lining	衬里,衬
linked	链接,联系
lionlike	狮子般的
lip	唇
lips	嘴唇
listen	听,聆
listened	听
listening	听
lit	点燃,发光的
literally	从字面上,按照字面
little	小,短时间
live	生活,重要
lived	住
lively	活泼,生气勃勃
lives	生活
